Model,TDP,TDP (Base),Cores (P),Cores (E),Cores (LP-E),Cores,Codename,Released,Clock rate
6th Gen A10-8700P APU,15.0,,,,,,,,
6th Gen A8-8600P APU,15.0,,,,,,,,
6th Gen AMD PRO A10-8700B APU,15.0,,,,,,,,
6th Gen AMD PRO A10-8750B APU,65.0,,,,,,,,
6th Gen AMD PRO A10-8770 APU,65.0,,,,,,,,
6th Gen AMD PRO A10-8770E APU,35.0,,,,,,,,
6th Gen AMD PRO A10-8850B APU,95.0,,,,,,,,
6th Gen AMD PRO A12-8800B APU,15.0,,,,,,,,
6th Gen AMD PRO A12-8870 APU,65.0,,,,,,,,
6th Gen AMD PRO A12-8870E APU,35.0,,,,,,,,
6th Gen AMD PRO A4-8350B APU,65.0,,,,,,,,
6th Gen AMD PRO A6-8500B APU,15.0,,,,,,,,
6th Gen AMD PRO A6-8550B APU,65.0,,,,,,,,
6th Gen AMD PRO A6-8570 APU,65.0,,,,,,,,
6th Gen AMD PRO A6-8570E APU,35.0,,,,,,,,
6th Gen AMD PRO A8-8600B APU,15.0,,,,,,,,
6th Gen AMD PRO A8-8650B APU,65.0,,,,,,,,
6th Gen FX-8800P APU,15.0,,,,,,,,
7th Gen A10-9600P APU,15.0,,,,,,,,
7th Gen A10-9630P APU,35.0,,,,,,,,
7th Gen A10-9700 APU,65.0,,,,,,,,
7th Gen A10-9700E APU,35.0,,,,,,,,
7th Gen A12-9700P APU,15.0,,,,,,,,
7th Gen A12-9730P APU,35.0,,,,,,,,
7th Gen A12-9800 APU,65.0,,,,,,,,
7th Gen A12-9800E APU,35.0,,,,,,,,
7th Gen A4-9120 APU,15.0,,,,,,,,
7th Gen A4-9120C APU,6.0,,,,,,,,
7th Gen A4-9125 APU,15.0,,,,,,,,
7th Gen A6-9210 APU,15.0,,,,,,,,
7th Gen A6-9220 APU,15.0,,,,,,,,
7th Gen A6-9220C APU,6.0,,,,,,,,
7th Gen A6-9225 APU,15.0,,,,,,,,
7th Gen A6-9500 APU,65.0,,,,,,,,
7th Gen A6-9500E APU,35.0,,,,,,,,
7th Gen A6-9550 APU,65.0,,,,,,,,
7th Gen A8-9600 APU,65.0,,,,,,,,
7th Gen A9-9410 APU,25.0,,,,,,,,
7th Gen A9-9420 APU,15.0,,,,,,,,
7th Gen A9-9425 APU,15.0,,,,,,,,
7th Gen AMD Athlon X4 970,65.0,,,,,,,,
7th Gen AMD PRO A10-9700 APU,65.0,,,,,,,,
7th Gen AMD PRO A10-9700B APU,15.0,,,,,,,,
7th Gen AMD PRO A10-9700E APU,35.0,,,,,,,,
7th Gen AMD PRO A10-9730B APU,35.0,,,,,,,,
7th Gen AMD PRO A12-9800 APU,65.0,,,,,,,,
7th Gen AMD PRO A12-9800B APU,15.0,,,,,,,,
7th Gen AMD PRO A12-9800E APU,35.0,,,,,,,,
7th Gen AMD PRO A12-9830B APU,35.0,,,,,,,,
7th Gen AMD PRO A4-4350B APU,15.0,,,,,,,,
7th Gen AMD PRO A4-5350B APU,15.0,,,,,,,,
7th Gen AMD PRO A6-7350B APU,15.0,,,,,,,,
7th Gen AMD PRO A6-8350B APU,15.0,,,,,,,,
7th Gen AMD PRO A6-9500 APU,65.0,,,,,,,,
7th Gen AMD PRO A6-9500B APU,15.0,,,,,,,,
7th Gen AMD PRO A6-9500E APU,35.0,,,,,,,,
7th Gen AMD PRO A8-9600 APU,65.0,,,,,,,,
7th Gen AMD PRO A8-9600B APU,15.0,,,,,,,,
7th Gen AMD PRO A8-9630B,35.0,,,,,,,,
7th Gen E2-9010 APU,15.0,,,,,,,,
7th Gen FX 9800P APU,15.0,,,,,,,,
7th Gen FX 9830P APU,35.0,,,,,,,,
A10 Micro-6700T with Radeon R6 Graphics,4.5,,,,,,,,
A10 PRO-7350B with Radeon R6 Graphics,19.0,,,,,,,,
A10 PRO-7800B with Radeon R7 Graphics,65.0,,,,,,,,
A10 PRO-7850B with Radeon R7 Graphics,95.0,,,,,,,,
A10-6700 with Radeon HD 8670D,65.0,,,,,,,,
A10-6700T with Radeon HD 8650D,45.0,,,,,,,,
A10-6790B with Radeon HD 8670D,45.0,,,,,,,,
A10-6790K with Radeon HD 8670D,100.0,,,,,,,,
A10-6800B with Radeon HD 8670D,45.0,,,,,,,,
A10-6800K with Radeon HD 8670D,100.0,,,,,,,,
A10-7300 with Radeon R6 Graphics,20.0,,,,,,,,
A10-7400P with Radeon R6 Graphics,35.0,,,,,,,,
A10-7850K with Radeon R7 Series,95.0,,,,,,,,
A10-7860K with Radeon R7 Graphics and Near Silent Thermal Solution,65.0,,,,,,,,
A10-7860K with Radeon R7 Series,65.0,,,,,,,,
A10-7870K with Radeon R7 Graphics and Near Silent Thermal Solution,95.0,,,,,,,,
A10-7870K with Radeon R7 Series,95.0,,,,,,,,
A10-7890K with Radeon R7 Graphics and Wraith cooler,95.0,,,,,,,,
A4 Micro-6400T with Radeon R3 Graphics,4.5,,,,,,,,
A4 PRO-3340B with Radeon HD 8240 Graphics,25.0,,,,,,,,
A4 PRO-3350B with Radeon R4 Graphics,15.0,,,,,,,,
A4 PRO-7300B with Radeon HD 8470D,65.0,,,,,,,,
